id,topic,bloom,stem,choice_a,choice_b,choice_c,choice_d,correct,choice_a_rationale,choice_b_rationale,choice_c_rationale,choice_d_rationale,embed_code
Q001,Pharmacokinetics,Remember,Which term describes the process by which a drug moves from its site of administration into the bloodstream?,Distribution,Metabolism,Absorption,Excretion,C,Distribution refers to how a drug spreads through the body's tissues after it has already entered the bloodstream.,"Metabolism is the process of chemically transforming a drug, usually in the liver, not moving it into the blood.","Absorption is the process by which a drug moves from its administration site into systemic circulation, making it available to the body.","Excretion is the elimination of a drug or its byproducts from the body, which occurs after it has already been absorbed.",
Q002,Pharmacokinetics,Understand,A nurse is teaching a patient about why oral medications take longer to work than injected ones. Which concept best explains this difference?,Oral drugs are less potent than injected drugs,"Oral drugs must be absorbed through the GI tract before entering the bloodstream, which takes time",Injected drugs are always given in higher doses,Oral drugs are immediately destroyed by stomach acid,B,Potency is a measure of how much drug is needed for an effect — it is not related to the route of administration or onset time.,"Oral medications must travel through the GI tract and be absorbed before reaching the bloodstream, creating a delay in onset compared to intravenous routes where the drug enters circulation directly.",Dose amount is determined by the prescriber based on the drug and condition — route of administration does not automatically determine dose size.,"While some drugs are affected by stomach acid, this is not the primary reason oral drugs take longer to act than injected ones.",
Q003,Contraindications,Remember,Which of the following best defines a contraindication to a medication?,A condition that makes a drug the preferred treatment option,A mild side effect that goes away with continued use,A situation or condition in which a drug should not be used because the risk of harm outweighs the benefit,A type of drug interaction that reduces effectiveness,A,This describes an indication — a reason to use a drug — not a reason to avoid it.,"A mild, resolving side effect is called a tolerated adverse effect and does not meet the definition of a contraindication.","A contraindication is a specific circumstance — such as an allergy, a disease state, or pregnancy — where administering a drug poses unacceptable risk of harm.","A reduction in drug effectiveness due to interaction is called antagonism or a drug-drug interaction, which is a separate pharmacology concept.",
Q004,Toxicity Recognition,Understand,Which statement best describes drug toxicity?,Toxicity occurs only when a patient intentionally takes too much of a drug,Toxicity refers to any therapeutic response to a medication,Toxicity is a harmful effect that results when drug levels in the body become too high,Toxicity is the same as a mild allergic reaction,C,"Toxicity can occur accidentally due to impaired elimination, drug interactions, or dosing errors — it is not limited to intentional overdose.","A therapeutic response is the intended, beneficial effect of a drug at the correct dose — the opposite of toxicity.","Toxicity occurs when drug concentrations exceed a safe threshold, whether from overdose, impaired excretion, or drug accumulation, leading to harmful effects on body systems.","An allergic reaction is an immune-mediated response, which is a different mechanism from toxicity caused by excessive drug levels.",
Q005,Drug Interactions,Remember,"When two drugs are taken together and one drug increases or decreases the effect of the other, this is called a",Placebo effect,Therapeutic index,Drug-drug interaction,First-pass effect,C,"The placebo effect is a perceived benefit from an inactive substance due to expectation, not a chemical interaction between two drugs.","The therapeutic index is a ratio comparing a drug's effective dose to its toxic dose — it measures safety margin, not the relationship between two drugs.","A drug-drug interaction occurs when one drug alters the absorption, metabolism, distribution, or effect of another drug, which can increase or decrease therapeutic or toxic effects.","First-pass effect refers to hepatic metabolism of an oral drug before it reaches systemic circulation — it is a pharmacokinetic concept, not an interaction between two drugs.",
Q006,Nursing Process Integration,Apply,A nurse is preparing to administer a medication and notices the patient's chart has an allergy listed for that drug class. Which step of the nursing process does checking this allergy reflect?,Implementation,Evaluation,Planning,Assessment,D,Implementation is the action phase — actually carrying out the intervention. Reviewing allergy information happens before this step.,"Evaluation occurs after an intervention has been given, to determine if the desired outcome was achieved.",Planning involves developing the care plan and identifying goals — allergy review during the pre-administration check is more specific than this phase.,"Assessment is the first step of the nursing process and involves collecting patient data, including allergies, health history, and current status — all of which are reviewed before any medication is given.",
Q007,Medication Administration Safety,Remember,Which of the 'rights' of medication administration is the nurse verifying when scanning a patient's armband before giving a drug?,Right dose,Right route,Right patient,Right time,C,The right dose is confirmed by comparing the prepared amount to the medication order — the armband does not provide dose information.,"The right route is confirmed by reviewing the medication order and form of the drug, not the patient's armband.",Scanning a patient's armband is the standard method to confirm the right patient — ensuring the medication is given to the individual for whom it was prescribed.,"The right time is verified by checking the medication administration record for scheduled timing, not the patient's armband.",
Q008,High-Alert Medications,Understand,Why are certain medications designated as 'high-alert' by safety organizations?,They are the most expensive medications in the facility,They are only administered by physicians,Errors involving these drugs are more likely to cause serious patient harm than errors with other medications,They require refrigeration and special storage,A,Cost is not a factor in high-alert designation — the classification is based entirely on patient safety risk.,"High-alert medications can be administered by nurses — the designation changes the safety verification process, not who administers the drug.","High-alert medications are drugs where mistakes in dosing, timing, or selection are significantly more likely to result in severe or fatal outcomes, requiring extra safeguards like independent double-checks.","Storage requirements relate to drug stability, not to the potential for causing patient harm from an error.",
Q009,Medication Reconciliation,Understand,Which of the following best describes the purpose of medication reconciliation?,To determine the most cost-effective drug for a patient's condition,To compare a patient's current medication orders against all medications the patient was taking before to identify and resolve discrepancies,To create a new medication plan based solely on the admitting diagnosis,To document which medications the patient refused,B,Cost analysis is a pharmacy and formulary function — medication reconciliation is a patient safety process focused on accuracy and continuity.,"Medication reconciliation is the systematic process of comparing the medications a patient is currently taking with newly ordered medications at transitions of care to prevent omissions, duplications, and errors.",Reconciliation uses prior medication history as a foundation — it does not disregard what the patient was already taking.,Documenting refusals is part of the administration record but is a separate process from reconciliation.,
Q010,Adverse Effects,Apply,A patient tells the nurse they stopped taking their prescribed medication because it was causing nausea. What is the most important reason the nurse should document and report this finding?,The nausea means the drug is working correctly,Stopping a medication without guidance can affect the patient's treatment and may cause additional health risks,The patient should switch to a different route of administration on their own,Nausea is always a sign of a serious allergic reaction,A,"Nausea is often a side effect, not a sign of therapeutic action — and self-discontinuation is a safety concern that requires clinical follow-up.","When patients stop medications abruptly, they may experience subtherapeutic effects, rebound symptoms, or withdrawal — the prescriber must be informed so the plan of care can be safely adjusted.",Route changes require a provider order; patients should never adjust their route of administration independently.,"Nausea is a common, non-immune-mediated side effect and is distinct from the immune response that characterizes a true allergic reaction.",
